,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
1242,1243,13,3,85.0,10625,1,0,3,3,0,4,0,14,2,2,0,6,7,5,1974,1974,1,1,9,10,2,81.0,3,4,1,3,4,2,3,885,4,30,0,1053,1,4,1,5,1173,0,0,1173,1,0,2,0,3,1,2,6,6,2,TA,2,1974.0,RFn,2,528,5,5,2,0,120,0,0,0,0,,3,0,0,1,2010,8,3,170000
615,616,13,3,80.0,8800,1,0,3,3,0,4,0,12,1,2,0,6,6,6,1963,1963,1,1,8,8,2,156.0,3,2,2,4,4,2,3,763,6,0,173,936,1,0,1,5,1054,0,0,1054,1,0,1,0,3,1,2,6,6,0,,2,1963.0,RFn,2,480,5,5,2,120,0,0,0,0,0,,3,0,0,5,2010,8,0,137500
1385,1386,8,4,40.0,5436,1,0,3,3,0,4,0,9,2,2,0,0,4,7,1922,2007,1,1,12,13,3,0.0,3,2,0,4,4,4,2,735,6,0,61,796,1,2,1,5,796,358,0,1154,1,0,1,0,3,1,2,7,6,0,,6,1922.0,Unf,1,240,5,5,0,0,96,0,0,0,0,,3,0,0,5,2010,8,4,125500
33,34,4,3,70.0,10552,1,0,0,3,0,4,0,12,2,2,0,2,5,4,1959,1959,3,1,3,3,3,0.0,3,4,1,4,4,4,5,1018,6,0,380,1398,1,2,1,5,1700,0,0,1700,0,1,1,1,4,1,2,6,6,1,Gd,2,1959.0,RFn,2,447,5,5,2,0,38,0,0,0,0,,0,0,0,4,2010,8,4,165500
1110,1111,9,3,69.0,8000,1,0,3,3,0,4,0,8,2,2,0,5,6,4,1995,1996,1,1,6,6,3,0.0,3,4,2,3,4,4,3,219,6,0,554,773,1,2,1,5,773,885,0,1658,1,0,2,1,3,1,3,8,6,1,TA,2,1995.0,Fin,2,431,5,5,2,224,84,0,0,0,0,,0,0,0,6,2008,8,4,188000
496,497,4,3,69.0,12692,1,0,0,3,0,4,0,15,2,2,0,2,8,4,1992,1993,3,1,3,3,3,0.0,2,4,2,3,4,4,3,1231,6,0,1969,3200,1,0,1,5,3228,0,0,3228,1,0,3,0,4,1,2,10,6,1,Gd,2,1992.0,RFn,2,546,5,5,2,264,75,291,0,0,0,,0,0,0,5,2007,8,4,430000
1453,1454,4,3,90.0,17217,1,0,3,3,0,4,0,11,2,2,0,2,5,4,2006,2006,1,1,12,13,3,0.0,3,4,2,3,4,4,6,0,6,0,1140,1140,1,0,1,5,1140,0,0,1140,0,0,1,0,3,1,3,6,6,0,,0,,,0,0,0,0,2,36,56,0,0,0,0,,0,0,0,7,2006,8,0,84500
1297,1298,2,4,35.0,3675,1,0,3,3,0,4,0,7,2,2,4,6,6,4,2005,2006,1,1,12,13,2,82.0,3,4,2,3,4,2,3,547,6,0,0,547,1,2,1,5,1072,0,0,1072,1,0,2,0,2,1,3,5,6,0,,3,2005.0,Fin,2,525,5,5,2,0,44,0,0,0,0,,0,0,0,6,2006,6,5,140000
382,383,9,3,79.0,9245,1,0,0,3,0,4,0,5,2,2,0,5,7,4,2006,2006,1,1,12,13,3,0.0,2,4,2,3,4,1,6,0,6,0,939,939,1,0,1,5,939,858,0,1797,0,0,2,1,3,1,2,8,6,0,,2,2006.0,RFn,2,639,5,5,2,144,53,0,0,0,0,,0,0,0,4,2007,8,4,213500
227,228,1,4,21.0,1869,1,0,3,3,0,4,0,2,2,2,3,5,6,5,1970,1970,1,1,6,6,2,127.0,3,4,1,4,4,4,5,321,6,0,162,483,1,4,1,5,483,504,0,987,0,0,1,1,2,1,3,5,6,0,,6,1987.0,Unf,1,280,5,5,2,0,0,0,0,0,0,,0,0,0,9,2008,8,4,106000
899,900,4,3,65.0,6993,1,0,3,3,0,4,0,19,1,2,0,2,5,6,1961,1994,1,1,6,10,3,0.0,3,4,1,4,4,4,2,465,6,0,447,912,1,4,1,5,1236,0,0,1236,0,0,1,0,3,1,3,6,6,1,TA,2,1961.0,Unf,1,288,5,5,2,0,0,0,0,0,0,,0,0,0,6,2006,8,4,135000
389,390,9,3,96.0,12474,1,0,3,3,0,4,0,16,2,2,0,5,10,4,2007,2008,1,1,12,13,4,272.0,0,4,2,1,4,1,3,1280,6,0,402,1682,1,0,1,5,1742,590,0,2332,1,0,2,1,3,1,0,9,6,1,Ex,4,2008.0,Fin,3,846,5,5,2,196,134,0,0,0,0,,0,0,0,8,2008,6,5,426000
840,841,10,2,69.0,12155,1,0,0,3,0,4,0,18,2,2,0,5,6,7,1925,1950,1,1,13,14,3,0.0,3,4,0,4,4,4,2,156,6,0,516,672,1,4,0,5,810,672,0,1482,0,0,2,0,4,1,1,7,6,0,,6,1934.0,Unf,1,400,5,5,1,0,0,254,0,0,0,,0,0,0,3,2008,8,4,140000
323,324,4,4,49.0,5820,1,0,3,3,0,4,0,17,2,2,0,2,3,7,1955,2005,1,1,12,13,3,0.0,3,2,1,4,4,4,1,256,6,0,906,1162,1,0,1,5,1163,0,0,1163,1,0,1,0,3,1,3,6,6,0,,2,1955.0,Unf,1,220,2,5,2,142,98,0,0,0,0,,0,0,0,7,2006,8,4,126175
100,101,4,3,69.0,10603,1,0,0,3,0,4,0,14,2,2,0,2,6,6,1977,2001,1,1,9,10,2,28.0,3,4,2,4,4,3,1,1200,6,0,410,1610,1,2,1,5,1610,0,0,1610,1,0,2,0,3,1,2,6,6,2,TA,2,1977.0,RFn,2,480,5,5,2,168,68,0,0,0,0,,0,0,0,2,2010,8,4,205000
428,429,4,3,64.0,6762,1,0,3,3,0,4,0,5,2,2,0,2,7,4,2007,2007,1,1,12,13,2,108.0,2,4,2,3,4,4,3,664,6,0,544,1208,1,0,1,5,1208,0,0,1208,1,0,2,0,2,1,2,6,6,0,,2,2007.0,RFn,2,628,5,5,2,105,54,0,0,0,0,,0,0,0,9,2007,6,5,195400
349,350,9,3,56.0,20431,1,0,1,3,0,4,0,16,2,2,0,5,9,4,2005,2006,3,1,5,5,2,870.0,0,4,2,1,4,4,3,1410,6,0,438,1848,1,0,1,5,1848,880,0,2728,1,0,2,1,4,1,0,10,6,2,Ex,2,2006.0,Fin,3,706,5,5,2,0,0,0,0,0,0,,0,0,0,4,2006,6,5,437154
1038,1039,1,4,21.0,1533,1,0,3,3,0,4,0,10,2,2,3,5,4,5,1970,2008,1,1,5,5,3,0.0,3,4,1,4,4,4,6,0,6,0,546,546,1,4,1,5,798,546,0,1344,0,0,1,1,3,1,3,6,6,1,TA,0,,,0,0,0,0,2,0,0,0,0,0,0,,0,0,0,5,2009,8,4,97000
541,542,9,3,69.0,11000,1,0,3,3,0,2,0,15,2,2,0,5,8,4,2000,2000,1,1,12,13,2,72.0,2,4,2,3,4,4,6,0,6,0,969,969,1,0,1,5,997,1288,0,2285,0,0,2,1,4,1,2,8,6,1,TA,4,2000.0,Fin,3,648,5,5,2,0,56,0,0,0,0,,0,0,0,6,2007,8,4,248000
218,219,8,3,69.0,15660,1,0,0,3,0,0,0,6,2,2,0,0,7,8,1939,2006,1,1,12,13,2,312.0,2,2,1,4,4,4,2,341,6,0,457,798,1,0,1,5,1137,817,0,1954,0,1,1,1,3,1,2,8,6,2,TA,2,1939.0,Unf,2,431,5,5,2,0,119,150,0,0,0,,0,0,0,5,2008,8,4,311500
791,792,12,3,69.0,11333,1,0,0,3,0,0,0,11,2,2,0,7,6,4,1976,1976,1,1,6,6,3,0.0,3,4,2,3,4,1,1,539,6,0,490,1029,1,4,1,5,1062,0,0,1062,1,0,1,0,3,1,3,5,6,2,TA,2,1976.0,RFn,2,539,5,5,2,120,0,0,0,0,0,,0,0,0,5,2007,8,4,146800
949,950,4,3,78.0,9360,1,0,3,3,0,4,0,14,2,2,0,2,6,6,1972,2006,3,1,9,10,3,0.0,3,4,1,4,4,4,1,982,6,0,179,1161,1,4,1,5,1381,0,0,1381,1,0,1,1,3,1,2,5,6,1,TA,2,1972.0,RFn,2,676,5,5,2,0,0,0,0,0,0,,0,0,0,3,2010,8,4,197500
74,75,8,4,60.0,5790,1,0,3,3,0,0,0,17,2,2,0,5,3,5,1915,1950,2,1,12,13,3,0.0,2,2,1,2,4,4,6,0,6,0,840,840,1,2,0,5,840,765,0,1605,0,0,2,0,3,2,3,8,6,0,,6,1915.0,Unf,1,379,5,5,2,0,0,202,0,0,0,,0,0,0,5,2010,8,4,107400
459,460,8,3,69.0,7015,1,0,0,0,0,0,0,3,2,2,0,0,5,3,1950,1950,1,1,8,8,1,161.0,3,4,1,4,4,4,4,185,6,0,524,709,1,4,1,5,979,224,0,1203,1,0,1,0,3,1,2,5,6,1,TA,6,1950.0,Unf,1,352,5,5,2,0,0,248,0,0,0,,0,0,0,7,2009,8,4,110000
86,87,9,3,122.0,11911,1,0,1,3,0,4,0,8,2,2,0,5,6,4,2005,2005,1,1,12,13,3,0.0,2,4,2,3,4,1,6,0,6,0,684,684,1,0,1,5,684,876,0,1560,0,0,2,1,3,1,2,6,6,1,Gd,4,2005.0,Fin,2,400,5,5,2,100,38,0,0,0,0,,0,0,0,3,2009,8,4,174000
366,367,4,3,69.0,9500,1,0,0,3,0,4,0,12,2,2,0,2,6,4,1963,1963,1,1,9,10,2,247.0,3,4,1,3,4,4,2,609,6,0,785,1394,1,2,1,5,1394,0,0,1394,1,0,1,1,3,1,3,6,6,2,Gd,2,1963.0,RFn,2,514,5,5,2,0,76,0,0,185,0,,0,0,0,7,2009,8,4,159000
1138,1139,4,3,69.0,9819,1,0,0,3,0,4,1,11,2,2,0,2,6,4,1977,1977,1,1,9,7,3,0.0,3,4,2,4,4,2,1,1567,6,0,0,1567,1,4,1,5,1567,0,0,1567,1,0,2,0,2,1,2,5,6,2,TA,2,1977.0,RFn,2,714,5,5,2,264,32,0,0,0,0,,0,0,0,5,2009,8,4,196000
526,527,4,3,70.0,13300,1,0,3,3,0,4,0,12,2,2,0,2,5,6,1956,2000,3,1,13,14,3,0.0,3,4,1,3,4,4,5,377,6,0,551,928,1,4,1,5,928,0,0,928,0,0,1,0,2,1,3,4,6,0,,2,1956.0,Unf,1,252,5,5,2,261,0,156,0,0,0,,0,0,0,6,2007,8,4,132000
661,662,9,3,52.0,46589,1,0,1,3,0,1,0,15,2,2,0,5,8,6,1994,2005,3,1,12,13,2,528.0,2,4,2,3,2,4,3,1361,5,36,88,1629,1,0,1,5,1686,762,0,2448,1,0,2,1,4,1,2,8,6,1,TA,2,1994.0,RFn,3,711,5,5,2,517,76,0,0,0,0,,0,0,0,7,2009,8,4,402000
670,671,9,3,64.0,8633,1,0,3,3,0,2,0,5,2,2,0,5,6,4,2005,2005,1,1,12,13,3,0.0,2,4,2,3,4,4,3,193,6,0,545,738,1,0,1,5,738,738,0,1476,1,0,2,1,3,1,2,7,6,0,,2,2005.0,Fin,2,540,5,5,2,100,35,0,0,0,0,,0,0,0,2,2009,8,4,173500
409,410,9,1,85.0,10800,1,0,3,3,0,4,0,21,2,2,0,5,8,4,2007,2008,1,1,12,13,4,100.0,2,4,2,1,4,4,3,789,6,0,245,1034,1,0,1,5,1050,1028,0,2078,1,0,2,1,3,1,0,8,6,1,Gd,2,2008.0,Fin,3,836,5,5,2,0,102,0,0,0,0,,0,0,0,4,2008,6,5,339750
1293,1294,9,3,78.0,10140,1,0,3,3,0,4,0,14,2,2,0,5,7,4,1976,1976,1,1,6,6,3,0.0,3,4,2,3,4,4,3,194,6,0,638,832,1,4,1,5,832,832,0,1664,0,0,2,1,4,1,3,8,6,1,TA,2,1976.0,RFn,2,528,5,5,2,0,28,0,0,259,0,,2,0,0,3,2006,8,4,162900
585,586,4,3,88.0,11443,1,0,3,3,0,4,0,23,2,2,0,2,8,4,2005,2006,3,1,12,13,2,208.0,2,4,2,1,4,2,3,1460,6,0,408,1868,1,0,1,5,2028,0,0,2028,1,0,2,0,2,1,2,7,6,2,Gd,2,2005.0,RFn,3,880,5,5,2,326,66,0,0,0,0,,0,0,0,3,2006,6,5,369900
668,669,4,3,69.0,14175,1,0,3,0,0,0,1,19,2,2,0,2,5,5,1956,1987,1,1,5,14,3,0.0,3,4,1,4,4,4,5,988,6,0,200,1188,1,2,1,5,1437,0,0,1437,1,0,1,1,3,1,3,6,3,1,TA,6,1999.0,Unf,2,576,5,5,2,304,0,0,0,0,0,,0,0,0,11,2006,8,4,168000
604,605,4,3,88.0,12803,1,0,0,3,0,4,0,5,2,2,0,2,7,4,2002,2002,1,1,12,13,2,99.0,2,4,2,3,4,3,3,922,6,0,572,1494,1,0,1,5,1494,0,0,1494,1,0,2,0,3,1,2,6,6,1,TA,2,2002.0,RFn,2,530,5,5,2,192,36,0,0,0,0,,0,0,0,9,2008,8,4,221000
959,960,1,1,24.0,2572,1,0,3,3,0,2,0,21,2,2,3,5,7,4,1999,1999,3,1,8,8,3,0.0,2,4,2,3,4,4,1,604,6,0,92,696,1,0,1,5,696,720,0,1416,1,0,2,1,3,1,2,6,6,0,,6,1999.0,Unf,2,484,5,5,2,0,44,0,0,0,0,,0,0,0,5,2010,8,4,155000
1314,1315,4,3,60.0,8190,1,0,3,3,0,4,0,7,2,2,0,2,4,5,1954,1954,3,1,13,14,3,0.0,3,4,1,4,4,4,5,732,6,0,216,948,1,0,1,5,948,0,0,948,1,0,1,0,3,1,3,5,6,1,TA,6,1956.0,Unf,1,280,5,5,2,0,36,0,0,0,0,,0,0,0,10,2007,8,4,119000
431,432,8,4,60.0,5586,1,0,0,0,0,4,0,17,1,2,0,0,6,6,1920,1998,1,1,8,8,3,0.0,3,4,0,4,4,4,6,0,6,0,901,901,1,2,1,5,1088,110,0,1198,0,0,1,0,4,1,3,7,6,0,,0,,,0,0,0,0,0,0,98,0,0,0,0,,3,0,0,9,2008,3,0,79900
460,461,9,1,75.0,8004,1,0,0,3,0,4,0,21,6,2,0,5,8,4,2009,2009,1,1,12,13,4,110.0,2,4,2,3,4,4,3,544,6,0,288,832,1,0,1,5,832,1103,0,1935,1,0,2,1,3,1,3,8,6,0,,4,2009.0,Fin,2,552,5,5,2,0,150,0,0,0,0,,0,0,0,12,2009,6,5,263435
1183,1184,5,3,60.0,10800,1,1,3,3,0,4,0,17,2,2,0,2,5,5,1920,1950,3,1,11,12,3,0.0,3,4,0,4,4,4,5,821,6,0,299,1120,1,0,1,5,1130,0,0,1130,1,0,1,0,2,1,3,5,6,1,Gd,6,1970.0,Unf,2,720,5,5,2,229,0,0,0,0,0,,0,0,0,6,2006,8,4,120000
509,510,4,3,80.0,9600,1,0,3,3,0,0,0,12,2,2,0,2,5,5,1959,1959,1,1,8,8,2,132.0,3,4,1,4,4,4,1,991,6,0,50,1041,1,0,1,5,1041,0,0,1041,1,0,1,0,3,1,3,6,6,0,,2,1959.0,RFn,1,270,5,5,2,224,88,0,0,0,0,,3,0,0,7,2009,8,4,124500
569,570,14,3,69.0,7032,1,0,0,3,0,0,0,12,2,2,2,6,5,4,1979,1979,1,1,8,8,3,0.0,3,4,1,3,4,2,3,943,6,0,0,943,1,4,1,5,943,0,0,943,1,0,1,0,2,1,3,4,6,2,TA,6,1979.0,Unf,2,600,5,5,2,42,0,0,0,0,0,,0,0,0,12,2006,8,4,135960
374,375,9,3,65.0,8200,1,0,3,3,0,4,0,5,2,2,0,5,7,4,2003,2004,1,1,12,13,3,0.0,2,4,2,3,4,4,6,0,6,0,847,847,1,0,1,5,847,1081,0,1928,0,0,2,1,4,1,2,8,6,1,Gd,4,2003.0,Fin,2,434,5,5,2,100,48,0,0,0,0,,0,0,0,7,2007,8,4,219500
1399,1400,8,3,51.0,6171,1,0,3,3,0,4,0,18,2,2,0,0,6,5,1925,1990,1,1,14,15,3,0.0,3,4,0,4,4,4,2,264,6,0,712,976,1,0,1,5,1160,448,0,1608,0,0,2,1,3,1,2,7,6,1,Gd,6,1925.0,Unf,1,216,2,5,2,147,16,0,0,0,0,,3,0,0,10,2009,8,4,137450
500,501,1,4,21.0,1890,1,0,3,3,0,4,0,2,2,2,3,5,6,4,1973,1973,1,1,6,6,2,285.0,3,4,1,4,4,4,2,356,6,0,316,672,1,4,1,5,672,546,0,1218,0,0,1,1,3,1,3,7,6,0,,6,1973.0,Unf,1,264,5,5,2,144,28,0,0,0,0,,0,0,0,5,2007,8,4,113000
1153,1154,5,4,69.0,5890,1,0,3,3,0,0,0,9,2,2,0,2,6,7,1930,2007,1,1,13,14,3,0.0,2,2,0,4,4,1,1,538,6,0,278,816,1,0,1,5,816,0,0,816,0,0,1,0,2,1,3,5,6,0,,6,2002.0,Unf,1,432,5,5,2,0,0,96,0,0,0,,0,0,0,6,2008,8,4,120500
669,670,5,3,80.0,11600,1,0,3,3,0,4,0,6,2,2,0,2,4,4,1922,1950,1,1,8,8,3,0.0,3,4,0,2,4,4,6,0,6,0,700,700,1,0,1,5,1180,0,0,1180,0,0,1,0,2,1,1,5,6,1,Gd,6,1922.0,Unf,1,252,5,2,2,0,0,67,0,0,0,,0,0,0,7,2006,8,4,137500
1082,1083,4,3,70.0,8749,1,0,3,3,0,4,0,5,2,2,0,2,7,4,2002,2002,1,1,12,13,2,100.0,2,4,2,3,4,4,6,0,6,0,1459,1459,1,0,1,5,1459,0,0,1459,0,0,2,0,3,1,2,6,6,1,Gd,2,2002.0,RFn,2,527,5,5,2,192,39,0,0,0,0,,0,0,0,9,2007,8,4,192000
535,536,3,3,70.0,7000,1,0,3,3,0,4,0,7,2,2,1,5,5,6,1910,1991,1,1,8,8,3,0.0,3,4,1,3,4,2,3,969,6,0,148,1117,1,4,1,5,820,527,0,1347,1,0,1,0,3,1,3,5,6,0,,0,,,0,0,0,0,0,85,0,148,0,0,0,,0,0,0,1,2008,8,4,107500
1231,1232,14,3,70.0,7728,1,0,3,3,0,4,0,12,2,2,2,7,5,5,1962,1962,3,1,13,14,2,120.0,3,4,1,4,4,1,1,803,6,0,303,1106,1,4,1,5,1190,0,0,1190,1,0,1,0,3,1,3,6,6,0,,2,1962.0,Unf,2,540,5,5,2,0,18,0,0,0,0,,2,0,0,5,2006,8,4,132500
1131,1132,4,3,63.0,10712,1,0,3,3,0,4,0,11,2,2,0,2,5,4,1991,1992,1,1,6,6,3,0.0,3,4,2,3,4,3,2,212,6,0,762,974,1,4,1,5,974,0,0,974,0,0,1,0,3,1,3,5,6,0,,0,,,0,0,0,0,2,0,28,0,0,0,0,,3,0,0,9,2007,7,0,93500
905,906,4,3,80.0,9920,1,0,3,3,0,4,0,12,2,2,0,2,5,4,1954,1954,1,1,6,6,4,110.0,3,4,1,4,4,4,5,354,4,59,412,1056,1,4,1,5,1063,0,0,1063,1,0,1,0,3,1,3,6,6,0,,2,1954.0,RFn,1,280,5,5,2,0,0,164,0,0,0,,3,0,0,2,2010,8,4,128000
1197,1198,11,4,65.0,8850,1,0,0,0,0,0,0,17,2,2,0,4,7,5,1916,1950,1,1,8,8,3,0.0,3,4,0,4,4,4,6,0,6,0,815,815,1,0,1,5,815,875,0,1690,0,0,1,0,3,1,3,7,6,1,Gd,6,1916.0,Unf,1,225,5,5,2,0,0,330,0,0,0,,0,0,0,7,2006,5,4,144000
107,108,4,4,50.0,6000,1,0,3,3,0,4,0,17,2,2,0,2,5,4,1948,1950,1,1,12,13,3,0.0,3,4,1,4,4,4,1,104,2,31,516,789,1,0,1,5,789,0,0,789,0,0,1,0,2,1,3,5,6,0,,6,1948.0,Unf,1,250,5,5,2,0,0,0,0,0,0,,0,0,0,4,2008,8,5,115000
161,162,9,3,110.0,13688,1,0,0,3,0,4,0,16,2,2,0,5,9,4,2003,2004,1,1,12,13,2,664.0,2,4,2,1,4,1,3,1016,6,0,556,1572,1,0,1,5,1572,1096,0,2668,1,0,2,1,3,1,0,10,6,2,Gd,4,2003.0,Fin,3,726,5,5,2,400,0,0,0,0,0,,0,0,0,3,2008,8,4,412500
1157,1158,0,3,34.0,5001,1,0,0,3,0,4,0,16,2,2,3,2,7,4,2007,2008,1,1,12,13,4,166.0,2,4,2,3,4,4,3,904,6,0,410,1314,1,0,1,5,1314,0,0,1314,1,0,2,0,2,1,2,6,6,1,Gd,2,2008.0,RFn,2,626,5,5,2,172,62,0,0,0,0,,0,0,0,7,2009,8,4,230000
